entity,records_lost,int_records_lost,year,month,sector,method,data_sensitivity,source_name,interesting_story
TD Ameritrade,"6,300,000",6300000,2007,Sep,financial,hacked,1,"Wired, CBNC",n
AOL,"20,000,000",20000000,2006,Aug,web,oops!,1,Tech Crunch,y
US Dept of Vet Affairs,"26,500,000",26500000,2006,Jul,"government, military",lost device ,2,"GCN, US Gov",n
Automatic Data Processing,"125,000",125000,2006,Jul,financial,poor security,2,ABC News,n
KDDI,"4,000,000",4000000,2006,Jun,telecoms,hacked,1,Computer World,y
Hewlett Packard,"200,000",200000,2006,Mar,"tech, retail",lost device ,2,Computer Weekly,y
Ameritrade Inc.,"200,000",200000,2005,Apr,financial,lost device ,2,NBC,n
Citigroup,"3,900,000",3900000,2005,Jun,financial,lost device ,3,NY Times,y
Cardsystems Solutions Inc. ,"40,000,000",40000000,2005,Jun,financial,hacked,3,Wired,y
AOL,"92,000,000",92000000,2004,Jun,web,inside job,1,CNN,n
